Animal,Age,Gender,Breed,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Symptom_Coughing,Symptom_Lameness,Category,Disease
GuineaPig,13.4,Female,Crossbreed,6.1,6.4,14.0,308.0,107.0,45.0,58.0,34.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Fish,6.1,Female,Mixed,7.8,6.1,15.8,277.0,118.0,56.0,28.0,16.0,0.9,0,0,0,0,0,0,0,0,Gastrointestinal,Constipation
Cattle,10.0,Male,Purebred,8.7,5.7,13.0,299.0,108.0,34.0,57.0,16.0,1.1,0,0,0,0,0,0,0,1,Musculoskeletal,Lameness
Pig,11.4,Female,Crossbreed,18.0,5.8,13.5,355.0,94.0,57.0,54.0,24.0,1.3,0,0,0,0,0,0,0,0,Bacterial,Anthrax
Turtle,12.5,Female,Mixed,16.3,5.8,12.0,381.0,84.0,33.0,58.0,34.0,1.2,1,0,0,0,0,0,0,0,Viral,Picornavirus
Cattle,8.5,Male,Mixed,9.2,6.6,12.4,299.0,73.0,58.0,38.0,33.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Milk Fever
GuineaPig,13.1,Female,Crossbreed,14.7,5.4,13.6,378.0,86.0,41.0,29.0,27.0,1.4,1,0,0,0,0,0,0,0,Bacterial,E.coli
Goat,11.4,Female,Crossbreed,14.2,5.8,14.8,250.0,93.0,37.0,30.0,23.0,1.2,1,0,0,0,0,0,0,0,Viral,Rabies
Rabbit,10.4,Female,Purebred,7.6,6.0,12.3,306.0,97.0,52.0,59.0,26.0,1.0,0,0,0,0,0,0,0,0,Musculoskeletal,Pododermatitis
Ferret,4.2,Male,Mixed,8.1,6.3,14.8,291.0,154.0,102.0,56.0,16.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Kidney Disease
Parrot,5.4,Female,Purebred,7.6,5.5,13.1,272.0,90.0,38.0,21.0,21.0,1.1,0,0,1,1,0,0,0,0,Gastrointestinal,Impacted Crop
Turkey,12.4,Female,Crossbreed,8.9,6.2,13.7,387.0,115.0,22.0,21.0,23.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Turtle,11.4,Male,Purebred,9.3,5.2,12.3,207.0,85.0,21.0,23.0,29.0,1.2,0,0,0,0,1,0,0,0,Parasitic,Mites
Sheep,11.5,Male,Mixed,7.0,5.4,13.0,255.0,88.0,55.0,50.0,16.0,1.0,0,0,0,0,0,0,0,0,Respiratory,Adenomatosis
Cat,8.0,Female,Mixed,8.2,5.2,15.5,281.0,85.0,21.0,50.0,27.0,1.3,0,0,0,0,0,0,0,0,Cardiovascular,Thromboembolism
Horse,14.7,Female,Purebred,8.5,6.1,12.4,345.0,102.0,38.0,56.0,21.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Diarrhea
GuineaPig,7.6,Female,Mixed,9.9,6.0,13.3,327.0,90.0,23.0,25.0,18.0,0.9,0,0,0,1,0,0,0,0,Gastrointestinal,GI Stasis
Chicken,13.5,Male,Crossbreed,8.7,5.3,12.8,208.0,97.0,46.0,27.0,17.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver Syndrome
Cat,10.5,Male,Purebred,12.4,6.3,12.3,375.0,117.0,22.0,31.0,31.0,1.3,1,0,0,0,0,0,0,0,Viral,Feline Leukemia Virus
Duck,5.8,Female,Purebred,14.6,5.1,13.0,343.0,116.0,40.0,41.0,17.0,1.1,1,0,0,0,0,0,0,0,Bacterial,E.coli
Sheep,8.7,Male,Crossbreed,6.4,6.1,12.9,269.0,130.0,66.0,46.0,25.0,1.2,0,0,0,0,0,0,0,0,Metabolic,Hypocalcemia
Chicken,2.3,Male,Mixed,10.4,6.3,14.3,271.0,119.0,44.0,29.0,17.0,0.9,0,0,0,0,0,0,0,0,Viral,Marek Disease
Ferret,1.7,Male,Crossbreed,7.6,6.5,12.4,280.0,119.0,55.0,53.0,20.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Dilated Cardiomyopathy
Cat,8.8,Male,Mixed,9.1,5.4,13.3,285.0,100.0,30.0,25.0,27.0,1.0,0,0,0,0,0,0,0,1,Musculoskeletal,Osteochondrodysplasia
Ferret,5.1,Male,Mixed,7.5,5.9,14.2,310.0,88.0,47.0,24.0,18.0,0.8,0,0,0,0,0,0,0,1,Musculoskeletal,Spinal Disease
Lizard,5.6,Male,Mixed,9.3,6.9,12.5,346.0,118.0,27.0,23.0,30.0,1.2,0,0,1,0,0,0,0,0,Gastrointestinal,Cryptosporidiosis
Rabbit,2.9,Male,Mixed,9.3,6.3,14.1,272.0,115.0,36.0,53.0,24.0,1.1,0,0,0,0,0,0,1,0,Respiratory,Bronchitis
Horse,3.9,Male,Crossbreed,13.8,6.1,15.6,325.0,85.0,58.0,45.0,22.0,0.9,1,0,0,0,0,0,0,0,Viral,Equine Influenza
Fish,11.9,Female,Mixed,7.2,4.5,15.0,207.0,103.0,50.0,55.0,22.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Myocarditis
Pig,6.3,Male,Mixed,7.9,5.8,15.1,202.0,104.0,43.0,49.0,27.0,1.4,0,0,0,0,0,0,1,0,Respiratory,Pneumonia
Chicken,14.2,Female,Purebred,8.3,5.7,14.4,204.0,115.0,57.0,43.0,29.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Round Heart Disease
GuineaPig,5.9,Male,Purebred,9.2,5.2,15.4,382.0,85.0,29.0,27.0,19.0,1.4,1,0,0,0,0,0,0,0,Viral,Sendai Virus
Alpaca,6.0,Male,Mixed,6.8,6.6,14.4,223.0,97.0,55.0,57.0,24.0,1.1,0,0,1,1,0,0,0,0,Gastrointestinal,Johne Disease
Parrot,4.1,Male,Crossbreed,6.7,4.0,13.2,356.0,91.0,29.0,29.0,25.0,1.5,0,0,0,0,1,0,0,0,Parasitic,Air Sac Mites
Chicken,5.0,Female,Crossbreed,13.7,6.6,13.4,294.0,105.0,35.0,53.0,27.0,1.0,1,0,0,0,0,0,0,0,Viral,Newcastle Disease
Turtle,2.8,Male,Mixed,9.6,6.5,13.1,379.0,101.0,52.0,59.0,32.0,1.4,1,0,0,0,0,0,0,0,Bacterial,Aeromonas
Cattle,7.8,Female,Purebred,7.4,6.1,15.5,311.0,109.0,52.0,60.0,27.0,1.4,0,0,1,1,0,0,0,0,Gastrointestinal,Rumen Acidosis
Duck,0.7,Male,Mixed,6.8,5.1,12.7,317.0,97.0,56.0,53.0,22.0,1.0,0,0,0,0,0,0,0,1,Musculoskeletal,Arthritis
Parrot,5.5,Female,Purebred,7.5,6.7,12.9,395.0,103.0,45.0,43.0,35.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Obesity
Turtle,8.4,Male,Mixed,7.0,4.3,15.3,397.0,101.0,27.0,31.0,15.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Cardiomyopathy
Pig,8.5,Male,Purebred,12.5,5.4,12.0,227.0,116.0,55.0,44.0,27.0,1.3,1,0,0,0,0,0,0,0,Viral,Classical Swine Fever
Duck,2.9,Male,Mixed,6.3,6.2,13.0,278.0,92.0,34.0,49.0,21.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Botulism
Sheep,4.4,Male,Crossbreed,8.4,5.1,14.0,319.0,93.0,51.0,24.0,17.0,1.3,0,0,1,1,0,0,0,0,Gastrointestinal,Enterotoxemia
GuineaPig,12.4,Male,Crossbreed,11.6,6.2,13.4,218.0,117.0,25.0,58.0,24.0,0.9,1,0,0,0,0,0,0,0,Viral,Adenovirus
Chicken,11.5,Male,Purebred,8.5,7.0,15.6,329.0,108.0,22.0,47.0,16.0,1.2,0,0,0,0,0,0,0,1,Musculoskeletal,Tendon Rupture
Goat,11.1,Male,Purebred,7.7,6.0,15.0,211.0,98.0,41.0,46.0,28.0,1.1,0,0,0,0,0,0,0,0,Cardiovascular,Arrhythmia
Turkey,10.6,Female,Purebred,12.3,5.1,13.3,308.0,112.0,33.0,45.0,33.0,1.2,0,0,0,0,0,0,0,0,Bacterial,Salmonellosis
GuineaPig,13.2,Male,Purebred,19.4,6.6,16.0,270.0,111.0,36.0,39.0,28.0,1.4,1,0,0,0,0,0,0,0,Bacterial,Salmonellosis
Goat,11.1,Male,Crossbreed,7.9,5.6,15.4,343.0,111.0,42.0,56.0,16.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Copper Deficiency
Sheep,1.8,Female,Crossbreed,9.5,6.9,13.9,323.0,87.0,60.0,29.0,34.0,1.3,0,0,0,0,0,0,1,0,Respiratory,Adenomatosis
Turkey,1.2,Male,Purebred,6.1,5.9,15.3,360.0,105.0,29.0,41.0,27.0,1.2,0,0,0,0,0,0,0,0,Cardiovascular,Cardiomyopathy
Cattle,10.6,Female,Crossbreed,12.1,5.4,12.9,307.0,104.0,43.0,24.0,33.0,1.0,1,0,0,0,0,0,0,0,Bacterial,Tuberculosis
Cat,12.2,Female,Mixed,8.2,5.2,13.6,275.0,116.0,64.0,40.0,17.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Chronic Kidney Disease
Turtle,7.5,Male,Crossbreed,17.6,5.7,14.7,313.0,91.0,55.0,52.0,28.0,1.4,1,0,0,0,0,0,0,0,Bacterial,Pseudomonas
Ferret,14.0,Female,Crossbreed,8.8,5.4,15.5,392.0,99.0,55.0,20.0,31.0,1.0,0,0,0,0,0,0,1,0,Respiratory,Influenza
Llama,12.6,Male,Crossbreed,6.8,5.2,13.3,312.0,84.0,43.0,20.0,31.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Hypocalcemia
Rabbit,5.5,Female,Crossbreed,9.7,5.2,15.7,338.0,83.0,32.0,48.0,16.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Enterotoxemia
Llama,7.0,Male,Crossbreed,13.2,5.8,12.3,364.0,95.0,53.0,30.0,15.0,0.9,1,0,0,0,0,0,0,0,Bacterial,Brucellosis
Cattle,2.9,Male,Mixed,8.8,5.4,12.3,336.0,106.0,31.0,58.0,18.0,1.1,0,0,0,0,0,0,1,0,Respiratory,Bovine Pneumonia
Snake,14.5,Male,Mixed,7.8,5.6,13.3,345.0,110.0,28.0,55.0,29.0,1.2,0,0,0,0,0,0,1,0,Respiratory,Inclusion Body Disease Respiratory
Chicken,13.1,Male,Crossbreed,7.8,6.1,12.1,359.0,73.0,112.0,59.0,19.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver Syndrome
Parrot,8.6,Female,Mixed,6.6,6.3,13.3,318.0,105.0,146.0,26.0,24.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver
Horse,10.6,Male,Purebred,9.6,6.4,15.0,229.0,84.0,43.0,21.0,25.0,0.9,0,0,1,1,0,0,0,0,Gastrointestinal,Enterocolitis
Llama,8.0,Male,Mixed,7.4,5.1,12.3,279.0,78.0,57.0,48.0,31.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Hepatic Lipidosis
Ferret,13.5,Male,Purebred,8.5,6.2,13.2,387.0,118.0,45.0,51.0,27.0,1.1,0,0,0,0,0,0,1,0,Respiratory,Aspergillosis
Snake,11.9,Male,Crossbreed,6.2,5.3,13.8,345.0,117.0,100.0,39.0,27.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Gout
Alpaca,0.8,Male,Purebred,7.3,6.1,14.0,216.0,89.0,71.0,37.0,19.0,1.4,0,0,0,0,0,0,0,0,Metabolic,Hypocalcemia
Fish,11.2,Female,Purebred,9.5,6.2,13.8,345.0,99.0,55.0,56.0,23.0,1.0,0,0,0,0,0,0,1,0,Respiratory,Branchiomycosis
Parrot,7.3,Male,Crossbreed,6.9,5.2,13.6,320.0,105.0,35.0,41.0,23.0,0.8,0,0,0,0,0,0,0,0,Parasitic,Scaly Face Mites
Lizard,10.1,Male,Purebred,8.6,4.8,13.6,372.0,80.0,44.0,44.0,23.0,1.0,0,0,0,0,0,0,0,0,Cardiovascular,Cardiomyopathy
GuineaPig,7.0,Female,Purebred,6.6,4.8,14.4,390.0,90.0,34.0,35.0,27.0,1.0,0,0,0,0,1,0,0,0,Parasitic,Cryptosporidium
Parrot,13.0,Female,Crossbreed,6.4,5.5,12.2,306.0,117.0,22.0,25.0,24.0,1.5,0,0,1,1,0,0,0,0,Gastrointestinal,Impacted Crop
Duck,6.3,Female,Crossbreed,6.0,6.9,14.6,374.0,81.0,65.0,40.0,28.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver
Snake,11.1,Female,Purebred,8.2,6.5,12.6,247.0,119.0,30.0,46.0,35.0,1.1,1,0,0,0,0,0,0,0,Bacterial,Mycobacteriosis
Chicken,0.9,Female,Mixed,8.8,6.4,12.9,332.0,96.0,46.0,24.0,28.0,1.5,0,0,0,0,0,0,0,0,Musculoskeletal,Leg Weakness
Rabbit,14.9,Male,Mixed,9.2,5.6,12.4,330.0,111.0,57.0,38.0,33.0,1.4,1,0,0,0,0,0,0,0,Viral,Myxomatosis
Dog,5.3,Male,Purebred,7.6,6.4,13.6,290.0,90.0,35.0,29.0,16.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Gastroenteritis
Duck,8.4,Female,Purebred,14.6,5.1,13.4,276.0,96.0,43.0,41.0,27.0,1.3,1,0,0,0,0,0,0,0,Viral,Avian Influenza
Ferret,3.3,Male,Crossbreed,6.3,6.9,14.6,276.0,88.0,39.0,28.0,18.0,1.2,0,0,0,0,0,0,1,0,Respiratory,Pleural Effusion
Duck,12.1,Male,Purebred,8.4,5.4,13.1,283.0,85.0,27.0,47.0,19.0,1.2,0,0,0,0,0,0,0,0,Parasitic,External Parasites
GuineaPig,13.8,Female,Purebred,9.2,6.1,12.2,327.0,118.0,44.0,53.0,33.0,1.0,0,0,0,0,0,0,1,0,Respiratory,URI Complex
GuineaPig,5.7,Female,Mixed,6.9,6.6,13.1,365.0,97.0,47.0,24.0,27.0,1.1,0,0,1,0,0,0,0,0,Gastrointestinal,Enterotoxemia
Cattle,7.4,Male,Mixed,6.7,5.6,12.9,241.0,105.0,60.0,45.0,16.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Ketosis
Llama,6.7,Male,Mixed,8.8,6.1,12.5,221.0,109.0,43.0,31.0,17.0,0.9,0,0,0,0,0,0,0,0,Parasitic,Internal Worms
Chicken,5.5,Male,Mixed,11.8,5.1,15.2,247.0,102.0,55.0,46.0,26.0,1.0,1,0,0,0,0,0,0,0,Viral,Infectious Bronchitis
Parrot,14.9,Male,Purebred,13.6,6.2,12.4,392.0,105.0,50.0,27.0,23.0,1.1,0,0,0,0,0,0,0,0,Bacterial,Psittacosis
Snake,7.4,Female,Mixed,6.5,6.9,12.1,347.0,150.0,69.0,47.0,17.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver
Snake,10.8,Female,Mixed,6.9,5.7,13.5,269.0,126.0,57.0,53.0,21.0,1.5,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver
Ferret,12.8,Female,Crossbreed,7.6,6.1,14.5,335.0,101.0,49.0,26.0,19.0,1.4,0,0,0,0,0,0,0,1,Musculoskeletal,Spinal Disease
Cattle,10.6,Female,Purebred,13.3,6.3,15.3,227.0,114.0,57.0,39.0,27.0,1.3,1,0,0,0,0,0,0,0,Bacterial,Anthrax
Rabbit,10.2,Female,Mixed,6.1,4.3,15.9,310.0,119.0,37.0,32.0,25.0,1.1,0,0,0,0,0,0,0,0,Cardiovascular,Cardiomyopathy
Horse,0.8,Female,Crossbreed,6.6,5.1,15.1,292.0,82.0,60.0,22.0,29.0,1.5,0,0,0,0,0,0,0,0,Gastrointestinal,Impaction
Rabbit,3.1,Female,Mixed,8.0,7.0,15.3,323.0,131.0,80.0,41.0,24.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Ketosis
Cattle,6.5,Female,Crossbreed,8.9,6.5,12.0,283.0,99.0,21.0,30.0,30.0,0.9,0,0,0,0,0,0,0,1,Musculoskeletal,Footrot
Dog,12.6,Male,Mixed,6.8,5.1,12.2,274.0,91.0,46.0,40.0,20.0,0.9,0,0,0,0,0,0,1,0,Respiratory,Pulmonary Edema
Cat,9.9,Male,Mixed,8.5,6.7,13.6,391.0,73.0,38.0,46.0,34.0,1.4,0,0,0,0,0,0,0,0,Metabolic,Liver Disease
Llama,11.8,Female,Crossbreed,12.4,5.8,13.8,245.0,116.0,38.0,55.0,17.0,1.5,0,0,0,0,0,0,0,0,Bacterial,Anthrax
Chicken,10.1,Male,Crossbreed,8.1,6.9,15.0,271.0,92.0,34.0,51.0,28.0,0.9,0,0,0,0,0,0,0,0,Viral,Infectious Bronchitis
Chicken,0.8,Female,Mixed,7.2,6.5,14.5,276.0,88.0,25.0,45.0,30.0,1.3,0,0,1,0,0,0,0,0,Gastrointestinal,Coccidiosis GI
Llama,2.3,Male,Purebred,12.6,6.2,15.0,362.0,106.0,25.0,34.0,34.0,1.0,1,0,0,0,0,0,0,0,Bacterial,Brucellosis
Llama,4.0,Male,Crossbreed,9.5,5.6,13.1,363.0,114.0,54.0,57.0,20.0,1.3,0,0,0,0,0,0,0,0,Cardiovascular,Valvular Disease
Chicken,1.3,Female,Purebred,9.0,4.6,14.2,346.0,84.0,47.0,24.0,34.0,1.1,0,0,0,0,0,0,0,0,Cardiovascular,Myocarditis
Parrot,11.5,Male,Crossbreed,7.2,6.1,14.8,375.0,105.0,50.0,26.0,24.0,0.8,0,0,0,0,0,0,1,0,Respiratory,Pneumonia
Sheep,4.5,Male,Purebred,8.6,4.9,15.0,363.0,105.0,48.0,35.0,26.0,1.2,0,0,0,0,1,0,0,0,Parasitic,Liver Fluke
Parrot,14.4,Male,Crossbreed,11.8,6.7,13.9,300.0,85.0,35.0,46.0,31.0,1.0,1,0,0,0,0,0,0,0,Viral,Polyomavirus
Chicken,0.9,Female,Mixed,7.6,5.8,15.5,302.0,109.0,24.0,29.0,29.0,0.8,0,0,0,0,0,0,0,1,Musculoskeletal,Tendon Rupture
Llama,12.5,Male,Crossbreed,6.3,3.9,13.3,357.0,108.0,52.0,41.0,24.0,0.9,0,0,0,0,1,0,0,0,Parasitic,Lice
Llama,1.4,Female,Crossbreed,9.1,6.5,13.2,235.0,106.0,40.0,27.0,29.0,1.5,0,0,0,0,0,0,0,1,Musculoskeletal,Fractures
Goat,9.0,Male,Mixed,18.7,5.3,14.8,317.0,103.0,48.0,57.0,31.0,0.8,1,0,0,0,0,0,0,0,Viral,Peste des Petits Ruminants
Sheep,7.5,Male,Purebred,9.7,6.4,14.5,210.0,116.0,56.0,51.0,15.0,0.8,0,0,0,0,0,0,1,0,Respiratory,Adenomatosis
Parrot,11.4,Female,Mixed,9.8,5.1,12.2,256.0,120.0,53.0,56.0,20.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Hypocalcemia
Turkey,2.8,Female,Crossbreed,6.3,6.8,12.6,306.0,96.0,34.0,56.0,15.0,1.3,0,0,0,0,0,0,0,0,Cardiovascular,Endocarditis
Lizard,1.3,Female,Purebred,8.9,7.0,13.0,331.0,88.0,43.0,39.0,34.0,1.2,0,0,1,0,0,0,0,0,Gastrointestinal,Anorexia
Llama,6.6,Male,Crossbreed,8.7,6.1,15.9,245.0,96.0,42.0,52.0,26.0,1.2,0,0,0,0,0,0,1,0,Respiratory,Aspergillosis
Cat,2.9,Female,Purebred,14.7,6.3,13.8,282.0,106.0,42.0,22.0,25.0,1.4,0,0,0,0,0,0,0,0,Viral,Feline Leukemia Virus
Turtle,2.9,Male,Purebred,9.0,5.0,12.5,332.0,86.0,30.0,58.0,26.0,1.3,0,0,1,1,0,0,0,0,Gastrointestinal,Dysbiosis
Cattle,8.3,Female,Crossbreed,6.4,6.3,15.3,276.0,111.0,59.0,28.0,25.0,1.0,0,0,1,1,0,0,0,0,Gastrointestinal,Hardware Disease
Chicken,6.2,Female,Purebred,8.1,5.3,14.8,359.0,93.0,54.0,56.0,21.0,1.5,0,0,0,0,0,0,0,1,Musculoskeletal,Leg Weakness
Dog,11.1,Female,Crossbreed,7.3,6.6,15.9,371.0,85.0,50.0,33.0,35.0,1.1,0,0,0,0,0,0,0,1,Musculoskeletal,Osteochondrosis
Turkey,15.0,Female,Crossbreed,12.7,5.3,14.7,219.0,81.0,53.0,28.0,23.0,1.5,1,0,0,0,0,0,0,0,Bacterial,Mycoplasma
Horse,11.5,Male,Crossbreed,12.2,6.3,13.3,251.0,113.0,55.0,41.0,20.0,0.9,1,0,0,0,0,0,0,0,Bacterial,Anthrax
Cattle,5.5,Male,Purebred,9.0,6.3,14.5,270.0,145.0,63.0,59.0,28.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Ketosis
Chicken,10.4,Female,Mixed,8.6,7.0,12.3,215.0,94.0,55.0,29.0,22.0,0.8,0,0,1,1,0,0,0,0,Gastrointestinal,Sour Crop
Fish,13.1,Male,Mixed,9.2,6.2,13.0,381.0,107.0,42.0,24.0,24.0,1.1,0,0,0,0,0,0,0,0,Cardiovascular,Heart Parasites
Chicken,6.5,Male,Purebred,7.9,4.7,13.7,205.0,119.0,25.0,48.0,34.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Endocarditis
Fish,4.9,Male,Mixed,7.1,6.7,12.5,341.0,102.0,24.0,30.0,15.0,1.1,0,0,0,0,0,0,1,0,Respiratory,Gill Disease
Ferret,3.8,Female,Purebred,8.4,5.1,15.5,375.0,93.0,34.0,60.0,28.0,1.2,0,0,0,0,0,0,1,0,Respiratory,Aspergillosis
Snake,9.0,Female,Purebred,9.4,5.8,12.3,366.0,104.0,25.0,24.0,33.0,1.3,0,0,0,0,0,0,0,0,Cardiovascular,Septicemia Heart
Dog,10.6,Female,Purebred,7.7,6.5,14.4,379.0,98.0,44.0,45.0,27.0,1.3,0,0,0,1,0,0,0,0,Gastrointestinal,Gastric Dilation
Pig,7.6,Female,Purebred,7.1,5.8,15.9,254.0,96.0,56.0,20.0,16.0,1.2,0,0,0,0,0,0,0,0,Cardiovascular,Arrhythmia
Alpaca,14.6,Male,Mixed,7.9,5.4,14.4,256.0,73.0,55.0,20.0,15.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Hypocalcemia
Goat,8.8,Female,Purebred,7.2,6.9,13.6,217.0,105.0,25.0,34.0,25.0,1.4,0,0,0,0,0,0,1,0,Respiratory,Pleuropneumonia
Ferret,7.0,Male,Purebred,6.7,5.7,14.9,376.0,107.0,30.0,47.0,21.0,1.3,0,0,0,0,0,0,0,0,Cardiovascular,Valvular Disease
Sheep,9.7,Male,Purebred,7.0,5.1,14.4,337.0,85.0,35.0,38.0,22.0,0.9,0,0,1,1,0,0,0,0,Gastrointestinal,Enterotoxemia
Dog,5.2,Male,Crossbreed,7.7,6.3,14.6,378.0,96.0,81.0,26.0,17.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Kidney Disease
Cat,8.2,Female,Purebred,6.0,5.8,13.2,297.0,103.0,22.0,25.0,26.0,1.0,0,0,0,0,0,0,1,0,Respiratory,Pleural Effusion
Horse,10.5,Female,Crossbreed,6.3,6.1,15.4,318.0,77.0,83.0,38.0,27.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Liver Disease
Pig,8.1,Female,Mixed,8.6,5.1,15.0,389.0,127.0,80.0,35.0,15.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Gastric Ulcers
Turtle,8.2,Female,Purebred,7.8,5.1,12.6,297.0,81.0,40.0,59.0,23.0,0.8,0,0,0,0,0,0,0,0,Cardiovascular,Septic Carditis
