ID,Animal,Breed,Gender,Age,Category,Disease,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Symptom_Coughing,Symptom_Lameness,Symptom_NasalDischarge,Symptom_EyeDischarge,Symptom_Drooling,Symptom_Blisters,WBC_RBC_Ratio,ALT_AST_Ratio,Urea_Creat_Ratio
DEV_10,Cat,,Male,14.1,Parasitic,Roundworm,4.4,2.9,9.7,342.0,84.0,40.0,39.0,15.0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1.517241379310345,1.0256410256410255,150.0
DEV_11,Snake,Mixed,Female,11.4,Respiratory,Bacterial URI,16.0,8.5,13.2,340.0,84.0,38.0,34.0,28.0,0.7,0,0,0,0,1,0,1,0,1,0,0,0,1.8823529411764706,1.1176470588235294,40.0
DEV_12,Fish,Mixed,Male,3.9,Metabolic,Vitamin Deficiency,9.1,6.0,12.1,339.0,107.0,105.0,53.0,16.0,,0,0,0,0,0,0,0,0,1,0,0,0,1.5166666666666666,1.9811320754716981,0.0
DEV_13,Lion,Purebred,Male,12.4,Metabolic,Exocrine Pancreatic Insufficiency,18.1,8.1,16.4,323.0,120.0,254.0,9.0,8.0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,2.234567901234568,28.22222222222222,10.0
DEV_14,Cat,Purebred,Female,5.0,Metabolic,Chronic Kidney Disease,15.5,8.6,13.3,463.0,89.0,32.0,31.0,112.0,,0,0,0,0,0,0,0,1,0,0,0,0,1.802325581395349,1.032258064516129,0.0
DEV_15,Cat,Mixed,Male,7.2,Respiratory,Pleural Effusion,9.9,5.4,16.4,244.0,111.0,27.0,49.0,22.0,1.9,0,1,0,0,0,0,1,0,1,0,0,0,1.8333333333333333,0.5510204081632653,11.578947368421053
DEV_16,Pig,Mixed,Male,13.9,Viral,African Swine Fever,24.0,8.3,15.3,406.0,84.0,10.0,8.0,21.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,2.8915662650602405,1.25,17.5
DEV_17,Buffalo,Purebred,Unknown,3.8,Parasitic,Coccidiosis,8.7,4.3,11.4,226.0,109.0,17.0,51.0,9.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2.0232558139534884,0.3333333333333333,10.0
DEV_18,Horse,Mixed,Male,5.9,Respiratory,COPD,12.2,,15.2,264.0,105.0,17.0,20.0,7.0,0.7,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.85,10.0
DEV_19,GuineaPig,Purebred,Female,7.2,Viral,Cytomegalovirus,13.8,6.9,15.3,252.0,103.0,,41.0,28.0,1.1,1,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0,25.454545454545453
DEV_20,Pig,Purebred,Unknown,3.8,Respiratory,Pneumonia,10.6,7.0,16.2,407.0,99.0,16.0,38.0,11.0,1.3,0,0,0,0,1,0,0,0,1,0,0,0,1.5142857142857142,0.42105263157894735,8.461538461538462
DEV_21,Lion,Purebred,Male,8.0,Bacterial,Salmonellosis,29.0,6.4,13.2,295.0,,90.0,90.0,7.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4.53125,1.0,7.0
DEV_22,Turtle,,Male,12.1,Musculoskeletal,Shell Pyramiding,8.2,7.1,16.5,313.0,102.0,33.0,24.0,21.0,1.1,0,0,0,0,0,0,0,1,1,0,0,0,1.1549295774647887,1.375,19.09090909090909
DEV_23,Lizard,Mixed,Male,12.2,Respiratory,Mouth Rot Secondary,16.4,7.4,,495.0,117.0,19.0,30.0,9.0,0.8,0,0,0,0,0,0,0,0,0,0,0,1,2.216216216216216,0.6333333333333333,11.25
DEV_24,Buffalo,,Female,10.6,Parasitic,Theileriosis,10.2,4.1,10.2,275.0,78.0,52.0,39.0,19.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,2.4878048780487805,1.3333333333333333,13.571428571428573
DEV_25,Dog,Purebred,Male,4.7,Parasitic,Heartworm,8.4,2.5,8.1,421.0,93.0,46.0,49.0,22.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,3.3600000000000003,0.9387755102040817,22.0
DEV_26,Turtle,Purebred,Male,8.4,Respiratory,Pneumonia,13.5,6.7,17.1,393.0,112.0,48.0,19.0,19.0,0.4,0,0,0,0,0,0,1,0,1,0,0,0,2.014925373134328,2.526315789473684,47.5
DEV_27,GuineaPig,Mixed,Unknown,13.2,Metabolic,Pregnancy Toxemia,12.8,,,482.0,98.0,273.0,24.0,14.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.375,15.555555555555555
DEV_28,Ferret,Purebred,Male,1.4,Metabolic,Hypoglycemia,9.4,7.7,13.4,419.0,,278.0,28.0,3.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1.2207792207792207,9.928571428571429,2.142857142857143
DEV_29,Rabbit,Purebred,Male,14.0,Parasitic,Coccidia,15.7,5.6,11.0,239.0,109.0,18.0,35.0,27.0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,2.803571428571429,0.5142857142857142,30.0
DEV_30,Sheep,Purebred,Male,2.4,Parasitic,Tapeworm,9.5,4.5,10.3,450.0,108.0,31.0,13.0,13.0,1.3,0,0,0,1,0,0,0,0,0,0,0,0,2.111111111111111,2.3846153846153846,10.0
DEV_31,Buffalo,Purebred,Male,11.4,Parasitic,Babesiosis,4.6,2.4,9.9,215.0,85.0,27.0,48.0,21.0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,1.9166666666666665,0.5625,26.25
DEV_32,Cattle,Purebred,Male,3.4,Parasitic,Liver Fluke,15.3,3.7,9.9,371.0,100.0,9.0,16.0,7.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,4.135135135135135,0.5625,17.5
DEV_33,Dog,Purebred,Unknown,4.0,Metabolic,Diabetes Mellitus,19.6,6.7,15.0,382.0,219.0,,5.0,16.0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,2.925373134328358,0.0,14.545454545454545
DEV_34,Chicken,Purebred,Female,7.5,Gastrointestinal,Coccidiosis GI,15.2,8.4,14.8,456.0,111.0,11.0,16.0,51.0,1.3,0,0,1,1,0,0,0,0,0,0,0,0,1.8095238095238093,0.6875,39.230769230769226
DEV_35,Parrot,,Male,9.0,Cardiovascular,Heart Failure,6.9,7.2,14.5,370.0,110.0,37.0,62.0,18.0,1.1,0,0,0,0,0,0,0,0,0,0,1,0,0.9583333333333334,0.5967741935483871,16.363636363636363
DEV_36,Goat,Mixed,Female,10.0,Cardiovascular,Endocarditis,10.3,7.8,12.0,482.0,109.0,25.0,12.0,9.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1.3205128205128207,2.0833333333333335,10.0
DEV_37,Dog,Purebred,Male,7.9,Musculoskeletal,Cruciate Ligament Rupture,6.5,5.1,19.4,472.0,84.0,48.0,42.0,25.0,0.8,0,0,0,0,0,0,0,1,0,0,0,1,1.2745098039215688,1.1428571428571428,31.25
DEV_38,Parrot,Purebred,Male,10.1,Parasitic,Giardia,12.0,5.2,,379.0,120.0,15.0,58.0,17.0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,2.3076923076923075,0.25862068965517243,11.333333333333334
DEV_39,Turtle,,Male,9.8,Parasitic,Leeches,12.9,3.0,7.7,518.0,109.0,52.0,56.0,8.0,0.9,0,0,0,0,1,0,0,0,0,0,0,0,4.3,0.9285714285714286,8.88888888888889
DEV_40,Lion,Mixed,Male,1.8,Metabolic,Kidney Disease,15.7,7.6,17.6,470.0,86.0,16.0,61.0,72.0,5.4,0,0,0,0,0,0,0,0,0,0,0,1,2.0657894736842106,0.26229508196721313,13.333333333333332
DEV_41,Llama,Purebred,Female,3.9,Parasitic,Lice,17.7,4.8,6.9,287.0,99.0,11.0,9.0,23.0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,3.6875,1.2222222222222223,38.333333333333336
DEV_42,Goat,Mixed,Female,3.9,Metabolic,Copper Deficiency,14.0,9.4,16.0,346.0,80.0,215.0,36.0,27.0,1.4,0,0,0,0,0,0,0,0,0,0,1,0,1.4893617021276595,5.972222222222222,19.28571428571429
DEV_43,Lion,Purebred,Male,7.8,Metabolic,Thiamine Deficiency,6.4,5.2,12.7,276.0,104.0,255.0,32.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1.2307692307692308,7.96875,4.0
DEV_44,Cat,Purebred,Female,8.8,Parasitic,Hookworm,9.3,,,240.0,103.0,49.0,28.0,26.0,1.2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.75,21.666666666666668
DEV_45,Llama,Mixed,Unknown,11.8,Respiratory,Pneumonia,6.7,5.2,16.4,403.0,106.0,29.0,15.0,13.0,0.2,0,0,0,0,1,0,1,0,1,0,0,0,1.2884615384615385,1.9333333333333333,65.0
DEV_46,Turkey,Purebred,Male,14.4,Respiratory,Mycoplasmosis,13.0,6.9,,304.0,120.0,13.0,29.0,13.0,0.7,0,0,0,0,0,0,1,0,1,0,0,0,1.8840579710144927,0.4482758620689655,18.571428571428573
DEV_47,Alpaca,Mixed,Unknown,1.7,Respiratory,Aspergillosis,,5.9,13.0,195.0,104.0,45.0,22.0,11.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,2.0454545454545454,11.0
DEV_48,Elephant,Purebred,Female,2.2,Cardiovascular,Endocarditis,12.0,7.9,14.6,378.0,88.0,11.0,15.0,25.0,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1.5189873417721518,0.7333333333333333,83.33333333333334
DEV_49,Tiger,Mixed,Male,2.1,Cardiovascular,Myocarditis,15.0,5.9,17.9,367.0,87.0,19.0,27.0,26.0,1.2,0,0,0,0,0,0,0,0,0,0,0,1,2.542372881355932,0.7037037037037037,21.666666666666668
DEV_50,Cat,Mixed,Female,12.7,Viral,Calicivirus,17.4,5.4,16.2,441.0,104.0,40.0,46.0,13.0,1.1,1,1,1,0,0,0,0,0,0,0,0,0,3.222222222222222,0.8695652173913043,11.818181818181817
DEV_51,Alpaca,Purebred,Female,12.5,Cardiovascular,Arrhythmia,11.0,6.2,13.3,430.0,76.0,20.0,13.0,26.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1.7741935483870968,1.5384615384615385,18.571428571428573
DEV_52,Alpaca,Purebred,Female,12.7,Respiratory,Influenza,6.1,7.1,14.9,323.0,88.0,11.0,45.0,17.0,0.7,0,0,1,0,0,0,1,0,1,0,0,0,0.8591549295774648,0.24444444444444444,24.28571428571429
DEV_53,Goat,Purebred,Unknown,13.3,Cardiovascular,Pericarditis,9.4,7.5,16.2,375.0,111.0,55.0,14.0,23.0,0.7,0,0,0,0,0,0,0,0,0,1,0,0,1.2533333333333334,3.9285714285714284,32.85714285714286
DEV_54,Tiger,,Female,9.9,Gastrointestinal,Gastritis,12.9,5.7,14.4,444.0,90.0,15.0,47.0,35.0,0.7,0,0,1,1,1,0,0,0,0,0,0,0,2.263157894736842,0.3191489361702128,50.0
DEV_55,Rabbit,Mixed,Male,13.8,Metabolic,Urolithiasis,11.7,6.0,15.9,444.0,97.0,127.0,45.0,10.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1.95,2.8222222222222224,7.142857142857143
DEV_56,Elephant,Mixed,Unknown,12.4,Gastrointestinal,Impaction,7.8,6.9,18.2,290.0,90.0,57.0,13.0,56.0,1.4,0,0,0,1,0,1,0,0,0,0,0,0,1.1304347826086956,4.384615384615385,40.0
DEV_57,Snake,Mixed,Female,2.9,Bacterial,Mycobacteriosis,27.2,8.4,12.6,229.0,98.0,,123.0,,0.4,1,0,0,0,0,0,0,0,0,0,0,0,3.2380952380952377,0.0,0.0
DEV_58,Cattle,Mixed,Male,11.0,Bacterial,Anthrax,,8.5,14.2,445.0,88.0,107.0,92.0,10.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.1630434782608696,11.11111111111111
DEV_59,Turtle,Purebred,Unknown,13.7,Bacterial,Salmonellosis,25.9,5.5,13.6,257.0,85.0,69.0,73.0,23.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4.709090909090909,0.9452054794520548,23.0
DEV_60,Turtle,,Female,6.9,Cardiovascular,Endocarditis,8.4,6.8,12.1,286.0,112.0,22.0,45.0,14.0,,0,0,0,0,0,0,0,0,0,0,0,0,1.2352941176470589,0.4888888888888889,0.0
DEV_61,Lizard,Mixed,Unknown,6.1,Musculoskeletal,Metabolic Bone Disease,9.6,6.2,13.3,349.0,85.0,,17.0,15.0,1.5,0,0,0,0,0,0,1,1,0,0,0,0,1.5483870967741935,0.0,10.0
DEV_62,Lion,Mixed,Male,1.5,Cardiovascular,Hypertrophic Cardiomyopathy,13.7,,14.2,228.0,94.0,48.0,39.0,,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.2307692307692308,0.0
DEV_63,Ferret,Purebred,Female,3.7,Viral,Canine Distemper,17.0,7.5,15.9,237.0,111.0,14.0,31.0,28.0,0.8,1,1,1,0,0,0,1,0,1,0,0,0,2.2666666666666666,0.45161290322580644,35.0
DEV_64,GuineaPig,Mixed,Male,4.4,Bacterial,Yersiniosis,32.1,7.9,13.9,349.0,84.0,136.0,108.0,18.0,0.9,1,0,0,0,0,0,1,0,0,0,0,0,4.063291139240507,1.2592592592592593,20.0
DEV_65,Horse,Purebred,Male,6.9,Musculoskeletal,Laminitis,15.8,9.2,,397.0,99.0,25.0,26.0,21.0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,1.7173913043478264,0.9615384615384616,23.333333333333332
DEV_66,Lizard,Purebred,Unknown,0.5,Parasitic,Mites,5.3,3.5,7.9,198.0,101.0,56.0,56.0,25.0,1.4,0,0,0,0,0,0,0,1,0,0,0,0,1.5142857142857142,1.0,17.857142857142858
DEV_67,Elephant,Purebred,Male,8.5,Cardiovascular,Pericarditis,8.4,5.5,13.9,333.0,125.0,11.0,41.0,21.0,0.7,0,0,0,0,0,0,0,0,0,1,0,0,1.5272727272727273,0.2682926829268293,30.000000000000004
DEV_68,Turtle,Mixed,Unknown,4.5,Musculoskeletal,Shell Pyramiding,13.2,5.2,17.5,,86.0,48.0,23.0,11.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2.5384615384615383,2.0869565217391304,13.75
DEV_69,Rabbit,Mixed,Unknown,5.7,Respiratory,Bronchitis,15.5,6.4,14.4,329.0,91.0,25.0,37.0,7.0,1.3,0,0,0,0,0,0,1,0,1,0,0,0,2.421875,0.6756756756756757,5.384615384615384
DEV_70,Ferret,Mixed,Female,4.4,Parasitic,Fleas,13.1,,9.4,312.0,69.0,21.0,,19.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,19.0
DEV_71,Fish,Purebred,Male,14.6,Viral,Koi Herpesvirus,16.1,5.1,16.6,431.0,120.0,31.0,29.0,9.0,0.4,1,1,0,0,0,0,1,0,0,0,0,0,3.1568627450980395,1.0689655172413792,22.5
DEV_72,Fish,Mixed,Male,10.5,Cardiovascular,Heart Parasites,14.5,6.4,12.7,217.0,115.0,16.0,44.0,17.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,2.265625,0.36363636363636365,12.142857142857144
DEV_73,Parrot,Mixed,Unknown,9.5,Parasitic,Scaly Face Mites,,,9.3,500.0,120.0,54.0,27.0,27.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,18.0
DEV_74,Tiger,Mixed,Female,2.2,Respiratory,Bronchitis,6.2,,,514.0,62.0,49.0,21.0,17.0,1.2,0,0,0,0,0,0,1,0,1,0,0,0,0.0,2.3333333333333335,14.166666666666668
DEV_75,Alpaca,Mixed,Male,6.3,Respiratory,Aspergillosis,14.0,7.7,18.0,377.0,,17.0,23.0,22.0,0.7,0,0,0,0,1,0,1,0,1,0,0,0,1.8181818181818181,0.7391304347826086,31.42857142857143
DEV_76,Horse,Purebred,Male,4.9,Respiratory,Equine Asthma,8.3,5.4,16.8,502.0,82.0,34.0,,19.0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,1.537037037037037,0.0,23.75
DEV_77,Horse,Mixed,Female,7.0,Viral,Equine Influenza,14.7,5.6,12.4,422.0,88.0,17.0,,12.0,0.9,1,1,0,0,0,0,0,0,1,1,0,1,2.625,0.0,13.333333333333332
DEV_78,Horse,Mixed,Male,10.9,Viral,Equine Influenza,17.1,5.8,16.5,381.0,103.0,26.0,49.0,8.0,0.6,1,1,0,0,0,0,1,0,1,0,0,1,2.9482758620689657,0.5306122448979592,13.333333333333334
DEV_79,Tiger,Purebred,Female,5.2,Musculoskeletal,Fractures,15.9,8.4,11.4,337.0,95.0,16.0,31.0,32.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1.8928571428571428,0.5161290322580645,32.0
DEV_80,Cattle,Purebred,Female,4.1,Musculoskeletal,Laminitis,16.0,8.6,15.9,267.0,99.0,43.0,48.0,26.0,,1,0,0,0,0,0,0,1,0,0,0,0,1.8604651162790697,0.8958333333333334,0.0
DEV_81,Lion,Purebred,Female,11.0,Musculoskeletal,Osteoarthritis,6.5,7.2,15.3,373.0,79.0,42.0,11.0,13.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0.9027777777777778,3.8181818181818183,8.125
DEV_82,Buffalo,Purebred,Male,12.1,Parasitic,Trypanosomiasis,8.7,,8.8,486.0,96.0,,22.0,26.0,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,37.142857142857146
DEV_83,Turtle,Mixed,Male,10.4,Bacterial,Shell Rot Bacteria,27.2,5.7,14.0,277.0,73.0,87.0,138.0,15.0,1.8,1,1,0,0,0,0,0,1,0,0,0,0,4.771929824561403,0.6304347826086957,8.333333333333334
DEV_84,Lizard,Mixed,Male,11.1,Gastrointestinal,Anorexia,13.5,6.3,11.8,194.0,95.0,61.0,13.0,31.0,1.0,0,0,1,1,0,0,0,0,0,0,1,0,2.142857142857143,4.6923076923076925,31.0
DEV_85,Turtle,Mixed,Male,7.9,Musculoskeletal,Soft Shell,12.6,6.5,16.8,228.0,98.0,25.0,37.0,20.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1.9384615384615385,0.6756756756756757,20.0
DEV_86,Parrot,Purebred,Female,14.7,Musculoskeletal,Fractures,11.8,7.2,17.2,242.0,,10.0,29.0,10.0,1.2,0,0,0,0,1,0,0,1,0,0,0,0,1.6388888888888888,0.3448275862068966,8.333333333333334
DEV_87,Fish,Mixed,Female,3.0,Viral,Spring Viremia Carp,22.7,8.6,15.9,453.0,112.0,34.0,34.0,23.0,0.9,1,1,0,0,0,0,0,0,0,0,1,0,2.6395348837209305,1.0,25.555555555555554
DEV_88,Lizard,Purebred,Female,3.3,Parasitic,Mites,11.2,2.0,10.0,248.0,101.0,45.0,48.0,21.0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,5.6,0.9375,35.0
DEV_89,GuineaPig,Mixed,Male,5.1,Parasitic,Lice,18.5,5.3,9.6,318.0,80.0,13.0,27.0,2.0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,3.4905660377358494,0.48148148148148145,10.0
DEV_90,Sheep,Mixed,Female,13.0,Musculoskeletal,Laminitis,,9.3,15.1,486.0,106.0,23.0,,11.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,10.0
DEV_91,Horse,Purebred,Male,8.8,Parasitic,Threadworm,8.8,4.3,,386.0,87.0,12.0,12.0,13.0,0.8,0,0,0,0,0,0,0,0,0,1,0,0,2.046511627906977,1.0,16.25
DEV_92,Goat,Mixed,Female,1.7,Respiratory,Lungworm Disease,8.1,4.9,13.7,256.0,82.0,17.0,12.0,9.0,0.5,0,0,0,1,0,0,1,0,1,0,0,0,1.6530612244897958,1.4166666666666667,18.0
DEV_93,Sheep,Purebred,Female,4.5,Gastrointestinal,Acidosis,10.1,5.7,15.1,284.0,113.0,19.0,30.0,44.0,1.1,0,0,1,0,0,0,0,0,0,0,0,0,1.7719298245614035,0.6333333333333333,40.0
DEV_94,Turkey,Mixed,Male,7.9,Respiratory,Airsacculitis,16.5,7.3,18.2,476.0,116.0,32.0,6.0,,0.5,1,0,0,0,0,0,1,0,1,0,0,0,2.26027397260274,5.333333333333333,0.0
DEV_95,Pig,Mixed,Male,11.4,Respiratory,Bronchitis,6.1,6.1,14.0,183.0,73.0,48.0,,5.0,0.6,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,8.333333333333334
DEV_96,GuineaPig,Mixed,Female,6.9,Metabolic,Hypocalcemia,15.2,5.8,11.9,,82.0,158.0,39.0,12.0,1.2,0,0,0,0,0,0,1,0,0,0,0,0,2.6206896551724137,4.051282051282051,10.0
DEV_97,Alpaca,Mixed,Male,3.3,Bacterial,Johne Disease,24.9,6.6,16.0,343.0,82.0,91.0,100.0,12.0,,1,0,0,0,0,1,0,0,0,0,0,0,3.772727272727273,0.91,0.0
DEV_98,Chicken,Mixed,Male,1.3,Bacterial,Mycoplasma,27.5,6.3,16.6,318.0,96.0,82.0,68.0,26.0,0.4,0,0,0,0,0,0,0,0,0,0,0,1,4.365079365079366,1.2058823529411764,65.0
DEV_99,Elephant,Purebred,Male,1.7,Gastrointestinal,Impaction,8.9,8.1,13.3,,96.0,16.0,38.0,55.0,,0,0,1,1,0,0,0,0,0,0,0,0,1.0987654320987654,0.42105263157894735,0.0
DEV_100,Dog,Mixed,Female,12.4,Viral,Canine Distemper,,6.9,14.4,451.0,82.0,8.0,16.0,16.0,1.0,1,1,1,0,0,0,1,0,0,1,0,0,0.0,0.5,16.0
DEV_101,Alpaca,Mixed,Unknown,5.1,Metabolic,Copper Deficiency,14.0,9.0,17.8,335.0,87.0,155.0,36.0,10.0,,0,0,0,0,0,0,0,0,0,0,0,0,1.5555555555555556,4.305555555555555,0.0
DEV_102,Goat,Mixed,Male,8.3,Metabolic,Hypocalcemia,15.4,6.9,15.0,461.0,101.0,209.0,39.0,16.0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,2.2318840579710146,5.358974358974359,20.0
DEV_103,Cat,Purebred,Male,5.4,Respiratory,Feline Asthma,17.1,6.5,12.5,,82.0,23.0,51.0,23.0,0.6,0,0,0,0,0,0,1,1,1,0,0,0,2.630769230769231,0.45098039215686275,38.333333333333336
DEV_104,Turkey,Mixed,Male,12.4,Cardiovascular,Pericarditis,14.3,5.5,14.2,269.0,94.0,14.0,,23.0,0.4,0,0,0,0,0,0,0,0,0,1,0,0,2.6,0.0,57.5
DEV_105,Tiger,Purebred,Male,3.8,Respiratory,Influenza,8.4,5.5,15.5,440.0,98.0,50.0,33.0,13.0,1.2,0,0,1,0,0,0,1,0,0,0,0,0,1.5272727272727273,1.5151515151515151,10.833333333333334
DEV_106,Llama,Mixed,Female,3.5,Metabolic,Hepatic Lipidosis,17.3,7.4,17.6,266.0,67.0,233.0,37.0,,0.6,0,0,1,0,0,0,0,0,0,0,0,0,2.3378378378378377,6.297297297297297,0.0
DEV_107,Cat,,Unknown,4.2,Metabolic,Diabetes Mellitus,8.8,8.6,15.5,349.0,467.0,24.0,36.0,28.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1.0232558139534884,0.6666666666666666,56.0
DEV_108,Llama,,Unknown,13.9,Cardiovascular,Myocarditis,10.4,5.6,15.0,206.0,87.0,55.0,51.0,9.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1.8571428571428574,1.0784313725490196,22.5
DEV_109,Chicken,,Female,14.8,Musculoskeletal,Leg Weakness,10.2,7.0,17.8,483.0,93.0,42.0,26.0,,1.0,0,0,0,0,0,0,0,1,0,0,1,0,1.457142857142857,1.6153846153846154,0.0
DEV_110,Tiger,,Female,4.6,Parasitic,Heartworm,7.3,3.2,11.5,363.0,95.0,56.0,32.0,10.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2.28125,1.75,25.0
DEV_111,Goat,Mixed,Male,2.2,Cardiovascular,Pericarditis,12.6,7.8,13.9,200.0,88.0,32.0,22.0,25.0,1.2,0,0,0,0,0,0,0,0,0,1,0,0,1.6153846153846154,1.4545454545454546,20.833333333333336
DEV_112,Llama,Purebred,Female,2.9,Cardiovascular,Myocarditis,14.5,6.5,12.8,368.0,82.0,45.0,36.0,14.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,2.230769230769231,1.25,8.75
DEV_113,Lion,Mixed,Female,3.1,Musculoskeletal,Skeletal Malformations,13.9,5.8,14.9,351.0,,46.0,48.0,17.0,1.1,0,0,0,1,0,0,0,1,0,0,0,0,2.396551724137931,0.9583333333333334,15.454545454545453
DEV_114,Parrot,Mixed,Male,14.4,Musculoskeletal,Arthritis,12.8,8.0,13.0,392.0,85.0,17.0,10.0,17.0,1.1,0,0,0,1,0,0,0,1,0,0,0,0,1.6,1.7,15.454545454545453
DEV_115,Snake,Purebred,Male,11.8,Viral,Adenovirus,24.9,8.4,15.5,317.0,95.0,37.0,29.0,,1.1,1,0,0,0,0,0,0,0,0,1,0,0,2.964285714285714,1.2758620689655173,0.0
